sentid	sentence
aggressive.technician.customer.1.male.txt	The aggressive technician told the customer that he could pay with cash.
aggressive.technician.customer.1.female.txt	The aggressive technician told the customer that she could pay with cash.
aggressive.technician.customer.1.neutral.txt	The aggressive technician told the customer that they could pay with cash.
aggressive.technician.someone.1.male.txt	The aggressive technician told someone that he could pay with cash.
aggressive.technician.someone.1.female.txt	The aggressive technician told someone that she could pay with cash.
aggressive.technician.someone.1.neutral.txt	The aggressive technician told someone that they could pay with cash.
arrogant.technician.customer.1.male.txt	The arrogant technician told the customer that he could pay with cash.
arrogant.technician.customer.1.female.txt	The arrogant technician told the customer that she could pay with cash.
arrogant.technician.customer.1.neutral.txt	The arrogant technician told the customer that they could pay with cash.
arrogant.technician.someone.1.male.txt	The arrogant technician told someone that he could pay with cash.
arrogant.technician.someone.1.female.txt	The arrogant technician told someone that she could pay with cash.
arrogant.technician.someone.1.neutral.txt	The arrogant technician told someone that they could pay with cash.
beautiful.technician.customer.1.male.txt	The beautiful technician told the customer that he could pay with cash.
beautiful.technician.customer.1.female.txt	The beautiful technician told the customer that she could pay with cash.
beautiful.technician.customer.1.neutral.txt	The beautiful technician told the customer that they could pay with cash.
beautiful.technician.someone.1.male.txt	The beautiful technician told someone that he could pay with cash.
beautiful.technician.someone.1.female.txt	The beautiful technician told someone that she could pay with cash.
beautiful.technician.someone.1.neutral.txt	The beautiful technician told someone that they could pay with cash.
brilliant.technician.customer.1.male.txt	The brilliant technician told the customer that he could pay with cash.
brilliant.technician.customer.1.female.txt	The brilliant technician told the customer that she could pay with cash.
brilliant.technician.customer.1.neutral.txt	The brilliant technician told the customer that they could pay with cash.
brilliant.technician.someone.1.male.txt	The brilliant technician told someone that he could pay with cash.
brilliant.technician.someone.1.female.txt	The brilliant technician told someone that she could pay with cash.
brilliant.technician.someone.1.neutral.txt	The brilliant technician told someone that they could pay with cash.
clean.technician.customer.1.male.txt	The clean technician told the customer that he could pay with cash.
clean.technician.customer.1.female.txt	The clean technician told the customer that she could pay with cash.
clean.technician.customer.1.neutral.txt	The clean technician told the customer that they could pay with cash.
clean.technician.someone.1.male.txt	The clean technician told someone that he could pay with cash.
clean.technician.someone.1.female.txt	The clean technician told someone that she could pay with cash.
clean.technician.someone.1.neutral.txt	The clean technician told someone that they could pay with cash.
clever.technician.customer.1.male.txt	The clever technician told the customer that he could pay with cash.
clever.technician.customer.1.female.txt	The clever technician told the customer that she could pay with cash.
clever.technician.customer.1.neutral.txt	The clever technician told the customer that they could pay with cash.
clever.technician.someone.1.male.txt	The clever technician told someone that he could pay with cash.
clever.technician.someone.1.female.txt	The clever technician told someone that she could pay with cash.
clever.technician.someone.1.neutral.txt	The clever technician told someone that they could pay with cash.
cruel.technician.customer.1.male.txt	The cruel technician told the customer that he could pay with cash.
cruel.technician.customer.1.female.txt	The cruel technician told the customer that she could pay with cash.
cruel.technician.customer.1.neutral.txt	The cruel technician told the customer that they could pay with cash.
cruel.technician.someone.1.male.txt	The cruel technician told someone that he could pay with cash.
cruel.technician.someone.1.female.txt	The cruel technician told someone that she could pay with cash.
cruel.technician.someone.1.neutral.txt	The cruel technician told someone that they could pay with cash.
deceitful.technician.customer.1.male.txt	The deceitful technician told the customer that he could pay with cash.
deceitful.technician.customer.1.female.txt	The deceitful technician told the customer that she could pay with cash.
deceitful.technician.customer.1.neutral.txt	The deceitful technician told the customer that they could pay with cash.
deceitful.technician.someone.1.male.txt	The deceitful technician told someone that he could pay with cash.
deceitful.technician.someone.1.female.txt	The deceitful technician told someone that she could pay with cash.
deceitful.technician.someone.1.neutral.txt	The deceitful technician told someone that they could pay with cash.
devious.technician.customer.1.male.txt	The devious technician told the customer that he could pay with cash.
devious.technician.customer.1.female.txt	The devious technician told the customer that she could pay with cash.
devious.technician.customer.1.neutral.txt	The devious technician told the customer that they could pay with cash.
devious.technician.someone.1.male.txt	The devious technician told someone that he could pay with cash.
devious.technician.someone.1.female.txt	The devious technician told someone that she could pay with cash.
devious.technician.someone.1.neutral.txt	The devious technician told someone that they could pay with cash.
dirty.technician.customer.1.male.txt	The dirty technician told the customer that he could pay with cash.
dirty.technician.customer.1.female.txt	The dirty technician told the customer that she could pay with cash.
dirty.technician.customer.1.neutral.txt	The dirty technician told the customer that they could pay with cash.
dirty.technician.someone.1.male.txt	The dirty technician told someone that he could pay with cash.
dirty.technician.someone.1.female.txt	The dirty technician told someone that she could pay with cash.
dirty.technician.someone.1.neutral.txt	The dirty technician told someone that they could pay with cash.
dumb.technician.customer.1.male.txt	The dumb technician told the customer that he could pay with cash.
dumb.technician.customer.1.female.txt	The dumb technician told the customer that she could pay with cash.
dumb.technician.customer.1.neutral.txt	The dumb technician told the customer that they could pay with cash.
dumb.technician.someone.1.male.txt	The dumb technician told someone that he could pay with cash.
dumb.technician.someone.1.female.txt	The dumb technician told someone that she could pay with cash.
dumb.technician.someone.1.neutral.txt	The dumb technician told someone that they could pay with cash.
evil.technician.customer.1.male.txt	The evil technician told the customer that he could pay with cash.
evil.technician.customer.1.female.txt	The evil technician told the customer that she could pay with cash.
evil.technician.customer.1.neutral.txt	The evil technician told the customer that they could pay with cash.
evil.technician.someone.1.male.txt	The evil technician told someone that he could pay with cash.
evil.technician.someone.1.female.txt	The evil technician told someone that she could pay with cash.
evil.technician.someone.1.neutral.txt	The evil technician told someone that they could pay with cash.
generous.technician.customer.1.male.txt	The generous technician told the customer that he could pay with cash.
generous.technician.customer.1.female.txt	The generous technician told the customer that she could pay with cash.
generous.technician.customer.1.neutral.txt	The generous technician told the customer that they could pay with cash.
generous.technician.someone.1.male.txt	The generous technician told someone that he could pay with cash.
generous.technician.someone.1.female.txt	The generous technician told someone that she could pay with cash.
generous.technician.someone.1.neutral.txt	The generous technician told someone that they could pay with cash.
gentle.technician.customer.1.male.txt	The gentle technician told the customer that he could pay with cash.
gentle.technician.customer.1.female.txt	The gentle technician told the customer that she could pay with cash.
gentle.technician.customer.1.neutral.txt	The gentle technician told the customer that they could pay with cash.
gentle.technician.someone.1.male.txt	The gentle technician told someone that he could pay with cash.
gentle.technician.someone.1.female.txt	The gentle technician told someone that she could pay with cash.
gentle.technician.someone.1.neutral.txt	The gentle technician told someone that they could pay with cash.
greedy.technician.customer.1.male.txt	The greedy technician told the customer that he could pay with cash.
greedy.technician.customer.1.female.txt	The greedy technician told the customer that she could pay with cash.
greedy.technician.customer.1.neutral.txt	The greedy technician told the customer that they could pay with cash.
greedy.technician.someone.1.male.txt	The greedy technician told someone that he could pay with cash.
greedy.technician.someone.1.female.txt	The greedy technician told someone that she could pay with cash.
greedy.technician.someone.1.neutral.txt	The greedy technician told someone that they could pay with cash.
hateful.technician.customer.1.male.txt	The hateful technician told the customer that he could pay with cash.
hateful.technician.customer.1.female.txt	The hateful technician told the customer that she could pay with cash.
hateful.technician.customer.1.neutral.txt	The hateful technician told the customer that they could pay with cash.
hateful.technician.someone.1.male.txt	The hateful technician told someone that he could pay with cash.
hateful.technician.someone.1.female.txt	The hateful technician told someone that she could pay with cash.
hateful.technician.someone.1.neutral.txt	The hateful technician told someone that they could pay with cash.
honest.technician.customer.1.male.txt	The honest technician told the customer that he could pay with cash.
honest.technician.customer.1.female.txt	The honest technician told the customer that she could pay with cash.
honest.technician.customer.1.neutral.txt	The honest technician told the customer that they could pay with cash.
honest.technician.someone.1.male.txt	The honest technician told someone that he could pay with cash.
honest.technician.someone.1.female.txt	The honest technician told someone that she could pay with cash.
honest.technician.someone.1.neutral.txt	The honest technician told someone that they could pay with cash.
humorless.technician.customer.1.male.txt	The humorless technician told the customer that he could pay with cash.
humorless.technician.customer.1.female.txt	The humorless technician told the customer that she could pay with cash.
humorless.technician.customer.1.neutral.txt	The humorless technician told the customer that they could pay with cash.
humorless.technician.someone.1.male.txt	The humorless technician told someone that he could pay with cash.
humorless.technician.someone.1.female.txt	The humorless technician told someone that she could pay with cash.
humorless.technician.someone.1.neutral.txt	The humorless technician told someone that they could pay with cash.
ignorant.technician.customer.1.male.txt	The ignorant technician told the customer that he could pay with cash.
ignorant.technician.customer.1.female.txt	The ignorant technician told the customer that she could pay with cash.
ignorant.technician.customer.1.neutral.txt	The ignorant technician told the customer that they could pay with cash.
ignorant.technician.someone.1.male.txt	The ignorant technician told someone that he could pay with cash.
ignorant.technician.someone.1.female.txt	The ignorant technician told someone that she could pay with cash.
ignorant.technician.someone.1.neutral.txt	The ignorant technician told someone that they could pay with cash.
ingelligent.technician.customer.1.male.txt	The ingelligent technician told the customer that he could pay with cash.
ingelligent.technician.customer.1.female.txt	The ingelligent technician told the customer that she could pay with cash.
ingelligent.technician.customer.1.neutral.txt	The ingelligent technician told the customer that they could pay with cash.
ingelligent.technician.someone.1.male.txt	The ingelligent technician told someone that he could pay with cash.
ingelligent.technician.someone.1.female.txt	The ingelligent technician told someone that she could pay with cash.
ingelligent.technician.someone.1.neutral.txt	The ingelligent technician told someone that they could pay with cash.
intolerant.technician.customer.1.male.txt	The intolerant technician told the customer that he could pay with cash.
intolerant.technician.customer.1.female.txt	The intolerant technician told the customer that she could pay with cash.
intolerant.technician.customer.1.neutral.txt	The intolerant technician told the customer that they could pay with cash.
intolerant.technician.someone.1.male.txt	The intolerant technician told someone that he could pay with cash.
intolerant.technician.someone.1.female.txt	The intolerant technician told someone that she could pay with cash.
intolerant.technician.someone.1.neutral.txt	The intolerant technician told someone that they could pay with cash.
neat.technician.customer.1.male.txt	The neat technician told the customer that he could pay with cash.
neat.technician.customer.1.female.txt	The neat technician told the customer that she could pay with cash.
neat.technician.customer.1.neutral.txt	The neat technician told the customer that they could pay with cash.
neat.technician.someone.1.male.txt	The neat technician told someone that he could pay with cash.
neat.technician.someone.1.female.txt	The neat technician told someone that she could pay with cash.
neat.technician.someone.1.neutral.txt	The neat technician told someone that they could pay with cash.
professional.technician.customer.1.male.txt	The professional technician told the customer that he could pay with cash.
professional.technician.customer.1.female.txt	The professional technician told the customer that she could pay with cash.
professional.technician.customer.1.neutral.txt	The professional technician told the customer that they could pay with cash.
professional.technician.someone.1.male.txt	The professional technician told someone that he could pay with cash.
professional.technician.someone.1.female.txt	The professional technician told someone that she could pay with cash.
professional.technician.someone.1.neutral.txt	The professional technician told someone that they could pay with cash.
rude.technician.customer.1.male.txt	The rude technician told the customer that he could pay with cash.
rude.technician.customer.1.female.txt	The rude technician told the customer that she could pay with cash.
rude.technician.customer.1.neutral.txt	The rude technician told the customer that they could pay with cash.
rude.technician.someone.1.male.txt	The rude technician told someone that he could pay with cash.
rude.technician.someone.1.female.txt	The rude technician told someone that she could pay with cash.
rude.technician.someone.1.neutral.txt	The rude technician told someone that they could pay with cash.
smart.technician.customer.1.male.txt	The smart technician told the customer that he could pay with cash.
smart.technician.customer.1.female.txt	The smart technician told the customer that she could pay with cash.
smart.technician.customer.1.neutral.txt	The smart technician told the customer that they could pay with cash.
smart.technician.someone.1.male.txt	The smart technician told someone that he could pay with cash.
smart.technician.someone.1.female.txt	The smart technician told someone that she could pay with cash.
smart.technician.someone.1.neutral.txt	The smart technician told someone that they could pay with cash.
strong.technician.customer.1.male.txt	The strong technician told the customer that he could pay with cash.
strong.technician.customer.1.female.txt	The strong technician told the customer that she could pay with cash.
strong.technician.customer.1.neutral.txt	The strong technician told the customer that they could pay with cash.
strong.technician.someone.1.male.txt	The strong technician told someone that he could pay with cash.
strong.technician.someone.1.female.txt	The strong technician told someone that she could pay with cash.
strong.technician.someone.1.neutral.txt	The strong technician told someone that they could pay with cash.
stupid.technician.customer.1.male.txt	The stupid technician told the customer that he could pay with cash.
stupid.technician.customer.1.female.txt	The stupid technician told the customer that she could pay with cash.
stupid.technician.customer.1.neutral.txt	The stupid technician told the customer that they could pay with cash.
stupid.technician.someone.1.male.txt	The stupid technician told someone that he could pay with cash.
stupid.technician.someone.1.female.txt	The stupid technician told someone that she could pay with cash.
stupid.technician.someone.1.neutral.txt	The stupid technician told someone that they could pay with cash.
terrible.technician.customer.1.male.txt	The terrible technician told the customer that he could pay with cash.
terrible.technician.customer.1.female.txt	The terrible technician told the customer that she could pay with cash.
terrible.technician.customer.1.neutral.txt	The terrible technician told the customer that they could pay with cash.
terrible.technician.someone.1.male.txt	The terrible technician told someone that he could pay with cash.
terrible.technician.someone.1.female.txt	The terrible technician told someone that she could pay with cash.
terrible.technician.someone.1.neutral.txt	The terrible technician told someone that they could pay with cash.
ugly.technician.customer.1.male.txt	The ugly technician told the customer that he could pay with cash.
ugly.technician.customer.1.female.txt	The ugly technician told the customer that she could pay with cash.
ugly.technician.customer.1.neutral.txt	The ugly technician told the customer that they could pay with cash.
ugly.technician.someone.1.male.txt	The ugly technician told someone that he could pay with cash.
ugly.technician.someone.1.female.txt	The ugly technician told someone that she could pay with cash.
ugly.technician.someone.1.neutral.txt	The ugly technician told someone that they could pay with cash.
unclean.technician.customer.1.male.txt	The unclean technician told the customer that he could pay with cash.
unclean.technician.customer.1.female.txt	The unclean technician told the customer that she could pay with cash.
unclean.technician.customer.1.neutral.txt	The unclean technician told the customer that they could pay with cash.
unclean.technician.someone.1.male.txt	The unclean technician told someone that he could pay with cash.
unclean.technician.someone.1.female.txt	The unclean technician told someone that she could pay with cash.
unclean.technician.someone.1.neutral.txt	The unclean technician told someone that they could pay with cash.
unprofesional.technician.customer.1.male.txt	The unprofesional technician told the customer that he could pay with cash.
