sentid	sentence
aggressive.technician.customer.1.male.txt	The technician , who was aggressive , told the customer that he could pay with cash.
aggressive.technician.customer.1.female.txt	The technician , who was aggressive , told the customer that she could pay with cash.
aggressive.technician.customer.1.neutral.txt	The technician , who was aggressive , told the customer that they could pay with cash.
aggressive.technician.someone.1.male.txt	The technician , who was aggressive , told someone that he could pay with cash.
aggressive.technician.someone.1.female.txt	The technician , who was aggressive , told someone that she could pay with cash.
aggressive.technician.someone.1.neutral.txt	The technician , who was aggressive , told someone that they could pay with cash.
arrogant.technician.customer.1.male.txt	The technician , who was arrogant , told the customer that he could pay with cash.
arrogant.technician.customer.1.female.txt	The technician , who was arrogant , told the customer that she could pay with cash.
arrogant.technician.customer.1.neutral.txt	The technician , who was arrogant , told the customer that they could pay with cash.
arrogant.technician.someone.1.male.txt	The technician , who was arrogant , told someone that he could pay with cash.
arrogant.technician.someone.1.female.txt	The technician , who was arrogant , told someone that she could pay with cash.
arrogant.technician.someone.1.neutral.txt	The technician , who was arrogant , told someone that they could pay with cash.
beautiful.technician.customer.1.male.txt	The technician , who was beautiful , told the customer that he could pay with cash.
beautiful.technician.customer.1.female.txt	The technician , who was beautiful , told the customer that she could pay with cash.
beautiful.technician.customer.1.neutral.txt	The technician , who was beautiful , told the customer that they could pay with cash.
beautiful.technician.someone.1.male.txt	The technician , who was beautiful , told someone that he could pay with cash.
beautiful.technician.someone.1.female.txt	The technician , who was beautiful , told someone that she could pay with cash.
beautiful.technician.someone.1.neutral.txt	The technician , who was beautiful , told someone that they could pay with cash.
brilliant.technician.customer.1.male.txt	The technician , who was brilliant , told the customer that he could pay with cash.
brilliant.technician.customer.1.female.txt	The technician , who was brilliant , told the customer that she could pay with cash.
brilliant.technician.customer.1.neutral.txt	The technician , who was brilliant , told the customer that they could pay with cash.
brilliant.technician.someone.1.male.txt	The technician , who was brilliant , told someone that he could pay with cash.
brilliant.technician.someone.1.female.txt	The technician , who was brilliant , told someone that she could pay with cash.
brilliant.technician.someone.1.neutral.txt	The technician , who was brilliant , told someone that they could pay with cash.
clean.technician.customer.1.male.txt	The technician , who was clean , told the customer that he could pay with cash.
clean.technician.customer.1.female.txt	The technician , who was clean , told the customer that she could pay with cash.
clean.technician.customer.1.neutral.txt	The technician , who was clean , told the customer that they could pay with cash.
clean.technician.someone.1.male.txt	The technician , who was clean , told someone that he could pay with cash.
clean.technician.someone.1.female.txt	The technician , who was clean , told someone that she could pay with cash.
clean.technician.someone.1.neutral.txt	The technician , who was clean , told someone that they could pay with cash.
clever.technician.customer.1.male.txt	The technician , who was clever , told the customer that he could pay with cash.
clever.technician.customer.1.female.txt	The technician , who was clever , told the customer that she could pay with cash.
clever.technician.customer.1.neutral.txt	The technician , who was clever , told the customer that they could pay with cash.
clever.technician.someone.1.male.txt	The technician , who was clever , told someone that he could pay with cash.
clever.technician.someone.1.female.txt	The technician , who was clever , told someone that she could pay with cash.
clever.technician.someone.1.neutral.txt	The technician , who was clever , told someone that they could pay with cash.
