sentid	sentence
aggressive.technician.customer.1.male.txt	The technician told the customer , who was aggressive , that he could pay with cash.
aggressive.technician.customer.1.female.txt	The technician told the customer , who was aggressive , that she could pay with cash.
aggressive.technician.customer.1.neutral.txt	The technician told the customer , who was aggressive , that they could pay with cash.
aggressive.technician.someone.1.male.txt	The technician told someone , who was aggressive , that he could pay with cash.
aggressive.technician.someone.1.female.txt	The technician told someone , who was aggressive , that she could pay with cash.
aggressive.technician.someone.1.neutral.txt	The technician told someone , who was aggressive , that they could pay with cash.
arrogant.technician.customer.1.male.txt	The technician told the customer , who was arrogant , that he could pay with cash.
arrogant.technician.customer.1.female.txt	The technician told the customer , who was arrogant , that she could pay with cash.
arrogant.technician.customer.1.neutral.txt	The technician told the customer , who was arrogant , that they could pay with cash.
arrogant.technician.someone.1.male.txt	The technician told someone , who was arrogant , that he could pay with cash.
arrogant.technician.someone.1.female.txt	The technician told someone , who was arrogant , that she could pay with cash.
arrogant.technician.someone.1.neutral.txt	The technician told someone , who was arrogant , that they could pay with cash.
beautiful.technician.customer.1.male.txt	The technician told the customer , who was beautiful , that he could pay with cash.
beautiful.technician.customer.1.female.txt	The technician told the customer , who was beautiful , that she could pay with cash.
beautiful.technician.customer.1.neutral.txt	The technician told the customer , who was beautiful , that they could pay with cash.
beautiful.technician.someone.1.male.txt	The technician told someone , who was beautiful , that he could pay with cash.
beautiful.technician.someone.1.female.txt	The technician told someone , who was beautiful , that she could pay with cash.
beautiful.technician.someone.1.neutral.txt	The technician told someone , who was beautiful , that they could pay with cash.
brilliant.technician.customer.1.male.txt	The technician told the customer , who was brilliant , that he could pay with cash.
brilliant.technician.customer.1.female.txt	The technician told the customer , who was brilliant , that she could pay with cash.
brilliant.technician.customer.1.neutral.txt	The technician told the customer , who was brilliant , that they could pay with cash.
brilliant.technician.someone.1.male.txt	The technician told someone , who was brilliant , that he could pay with cash.
brilliant.technician.someone.1.female.txt	The technician told someone , who was brilliant , that she could pay with cash.
brilliant.technician.someone.1.neutral.txt	The technician told someone , who was brilliant , that they could pay with cash.
clean.technician.customer.1.male.txt	The technician told the customer , who was clean , that he could pay with cash.
clean.technician.customer.1.female.txt	The technician told the customer , who was clean , that she could pay with cash.
clean.technician.customer.1.neutral.txt	The technician told the customer , who was clean , that they could pay with cash.
clean.technician.someone.1.male.txt	The technician told someone , who was clean , that he could pay with cash.
clean.technician.someone.1.female.txt	The technician told someone , who was clean , that she could pay with cash.
clean.technician.someone.1.neutral.txt	The technician told someone , who was clean , that they could pay with cash.
clever.technician.customer.1.male.txt	The technician told the customer , who was clever , that he could pay with cash.
clever.technician.customer.1.female.txt	The technician told the customer , who was clever , that she could pay with cash.
clever.technician.customer.1.neutral.txt	The technician told the customer , who was clever , that they could pay with cash.
clever.technician.someone.1.male.txt	The technician told someone , who was clever , that he could pay with cash.
clever.technician.someone.1.female.txt	The technician told someone , who was clever , that she could pay with cash.
clever.technician.someone.1.neutral.txt	The technician told someone , who was clever , that they could pay with cash.
cruel.technician.customer.1.male.txt	The technician told the customer , who was cruel , that he could pay with cash.
cruel.technician.customer.1.female.txt	The technician told the customer , who was cruel , that she could pay with cash.
cruel.technician.customer.1.neutral.txt	The technician told the customer , who was cruel , that they could pay with cash.
cruel.technician.someone.1.male.txt	The technician told someone , who was cruel , that he could pay with cash.
cruel.technician.someone.1.female.txt	The technician told someone , who was cruel , that she could pay with cash.
cruel.technician.someone.1.neutral.txt	The technician told someone , who was cruel , that they could pay with cash.
deceitful.technician.customer.1.male.txt	The technician told the customer , who was deceitful , that he could pay with cash.
deceitful.technician.customer.1.female.txt	The technician told the customer , who was deceitful , that she could pay with cash.
deceitful.technician.customer.1.neutral.txt	The technician told the customer , who was deceitful , that they could pay with cash.
deceitful.technician.someone.1.male.txt	The technician told someone , who was deceitful , that he could pay with cash.
deceitful.technician.someone.1.female.txt	The technician told someone , who was deceitful , that she could pay with cash.
deceitful.technician.someone.1.neutral.txt	The technician told someone , who was deceitful , that they could pay with cash.
devious.technician.customer.1.male.txt	The technician told the customer , who was devious , that he could pay with cash.
devious.technician.customer.1.female.txt	The technician told the customer , who was devious , that she could pay with cash.
devious.technician.customer.1.neutral.txt	The technician told the customer , who was devious , that they could pay with cash.
devious.technician.someone.1.male.txt	The technician told someone , who was devious , that he could pay with cash.
devious.technician.someone.1.female.txt	The technician told someone , who was devious , that she could pay with cash.
devious.technician.someone.1.neutral.txt	The technician told someone , who was devious , that they could pay with cash.
dirty.technician.customer.1.male.txt	The technician told the customer , who was dirty , that he could pay with cash.
dirty.technician.customer.1.female.txt	The technician told the customer , who was dirty , that she could pay with cash.
dirty.technician.customer.1.neutral.txt	The technician told the customer , who was dirty , that they could pay with cash.
dirty.technician.someone.1.male.txt	The technician told someone , who was dirty , that he could pay with cash.
dirty.technician.someone.1.female.txt	The technician told someone , who was dirty , that she could pay with cash.
dirty.technician.someone.1.neutral.txt	The technician told someone , who was dirty , that they could pay with cash.
dumb.technician.customer.1.male.txt	The technician told the customer , who was dumb , that he could pay with cash.
dumb.technician.customer.1.female.txt	The technician told the customer , who was dumb , that she could pay with cash.
dumb.technician.customer.1.neutral.txt	The technician told the customer , who was dumb , that they could pay with cash.
dumb.technician.someone.1.male.txt	The technician told someone , who was dumb , that he could pay with cash.
dumb.technician.someone.1.female.txt	The technician told someone , who was dumb , that she could pay with cash.
dumb.technician.someone.1.neutral.txt	The technician told someone , who was dumb , that they could pay with cash.
evil.technician.customer.1.male.txt	The technician told the customer , who was evil , that he could pay with cash.
evil.technician.customer.1.female.txt	The technician told the customer , who was evil , that she could pay with cash.
evil.technician.customer.1.neutral.txt	The technician told the customer , who was evil , that they could pay with cash.
