original_sentence	synonymized_sentence
The technician told the customer that he could pay with cash.	The technician told the customer that he could pay with card.
The technician told the customer that he had completed the repair.	The technician told the customer that he had completed the fix.
The taxpayer met with the accountant to get help filing his taxes.	The taxpayer met with the accountant to get aid filing his taxes.
The taxpayer met with the accountant to find out if he could help with tax preparation.	The taxpayer met with the accountant to discover if he could help with tax preparation.
The supervisor gave the employee feedback on his stellar performance.	The supervisor gave the employee feedback on his amazing performance.
The employee gave the supervisor feedback on his managing style.	The employee gave the supervisor feedback on his managing technique.
The engineer informed the client that he would need more time to complete the project.	The engineer informed the client that he would need more time to finish the project.
The engineer informed the client that he would need to make all future payments on time.	The engineer informed the client that he would need to make all upcoming payments on time.
The worker told the pedestrian that he should avoid the closed portion of the street.	The worker told the pedestrian that he should avoid the blocked portion of the street.
The worker told the pedestrian that he was repairing the sidewalk as quickly as possible.	The worker told the pedestrian that he was fixing the sidewalk as quickly as possible.
The educator was meeting with a student to discuss his writing skills.	The educator was meeting with a student to discuss his writing abilities.
The educator was meeting with a student to discuss his grading policy.	The educator was meeting with a student to review his grading policy.
The clerk provided the customer with paperwork for him to fill out.	The clerk provided the customer with documents for him to fill out.
The clerk provided the customer with paperwork to return to him upon completion.	The clerk provided the customer with documents to return to him upon completion.
The counselor disclosed to the patient that he was professionally mandated to report certain issues.	The counselor disclosed to the patient that he was professionally required to report certain issues.
The patient disclosed to the counselor that he had a history of substance abuse.	The patient revealed to the counselor that he had a history of substance abuse.
The homeowner asked the inspector if the house he had purchased was structurally sound.	The homeowner asked the inspector if the house he had bought was structurally sound.
The homeowner asked the inspector if he had discovered any building code violations.	The homeowner asked the inspector if he had found any building code violations.
The mechanic called to inform the customer that his car would be ready in the morning.	The mechanic called to notify the customer that his car would be ready in the morning.
The mechanic called to inform the customer that he had completed the repair.	The mechanic called to notify the customer that he had completed the repair.
The customer asked to speak with the manager because he would be able to fix the billing error.	The customer asked to speak with the manager because he would be able to correct the billing error.
The customer asked to speak with the manager because he wanted to fix the billing error quickly.	The customer asked to speak with the manager because he wanted to correct the billing error quickly.
The teenager confided in the therapist because he seemed trustworthy.	The teenager confided in the therapist because he appeared trustworthy.
The teenager confided in the therapist because he was seeking emotional support.	The teenager confided in the therapist because he was looking for emotional support.
The undergraduate presented the administrator with a petition that he had organized.	The undergraduate presented the administrator with a petition that he had arranged.
The undergraduate presented the administrator with a petition that he had been unaware of.	The undergraduate presented the administrator with a petition that he had been unknowing of.
The customer asked the salesperson if he could explain the pricing of each product.	The customer asked the salesperson if he could elaborate on the pricing of each product.
The customer asked the salesperson if he was eligible for an additional discount.	The customer asked the salesperson if he was entitled to an additional discount.
The visitor asked the receptionist if he needed to sign in.	The visitor asked the receptionist if he was required to sign in.
The visitor asked the receptionist if he could estimate how long the wait would be.	The visitor asked the receptionist if he could estimate how lengthy the wait would be.
The librarian helped the child pick out a book because he did not know what to read.	The librarian assisted the child pick out a book because he did not know what to read.
The librarian helped the child pick out a book because he liked to encourage reading.	The librarian assisted the child pick out a book because he liked to encourage reading.
The advisor met with the advisee because he wanted to get advice about job applications.	The advisor met with the advisee because he wanted to receive advice about job applications.
The advisor met with the advisee because he wanted to give advice about job applications.	The advisor met with the advisee because he wanted to offer advice about job applications.
The pharmacist told the patient that he should take the pills with food.	The pharmacist told the patient that he should take the tablets with food.
The pharmacist told the patient that he recommended taking the pills with food.	The pharmacist told the patient that he recommended taking the tablets with food.
The janitor warned the child not to step on the wet floor, otherwise he might fall and get hurt.	"The janitor cautioned the child not to step on the wet floor, otherwise he might fall and get hurt."
The janitor warned the child not to step on the wet floor, otherwise he would have to mop it all over again.	"The janitor cautioned the child not to step on the wet floor, otherwise he would have to mop it all over again."
The psychologist told the patient to fill out a questionnaire so he could make a preliminary assessment.	The psychologist instructed the patient to fill out a questionnaire so he could make a preliminary assessment.
The psychologist told the patient to fill out a questionnaire so he could be quickly assessed.	The psychologist instructed the patient to fill out a questionnaire so he could be quickly assessed.
The physician warned the patient that he needed to get more rest.	The physician cautioned the patient that he needed to get more rest.
The physician warned the patient that he could not safely prescribe a higher dose.	The physician cautioned the patient that he could not safely prescribe a higher dose.
The carpenter told the onlooker that he needed to stand at least thirty feet from the building site.	The carpenter informed the onlooker that he needed to stand at least thirty feet from the building site.
The carpenter told the onlooker that he had been working on the house for three weeks.	The carpenter informed the onlooker that he had been working on the house for three weeks.
The nurse notified the patient that his shift would be ending in an hour.	The nurse informed the patient that his shift would be ending in an hour.
The nurse notified the patient that his blood would be drawn in an hour.	The nurse informed the patient that his blood would be drawn in an hour.
The investigator wanted to interview the witness in person, but he was unreachable.	"The investigator wished to interview the witness in person, but he was unreachable."
The investigator wanted to interview the witness in person, but he was unable to get in contact.	"The investigator wished to interview the witness in person, but he was unable to get in contact."
The customer left the bartender a big tip because he was feeling generous.	The customer left the bartender a huge tip because he was feeling generous.
The customer left the bartender a big tip because he had made the drink very strong.	The customer left the bartender a huge tip because he had made the drink very strong.
The patient was referred to the specialist because he had a rare skin condition.	The patient was referred to the specialist because he had an uncommon skin condition.
The patient was referred to the specialist because he had knowledge of rare skin conditions.	The patient was referred to the specialist because he had knowledge of uncommon skin conditions.
The electrician warned the homeowner not to try rewiring anything on his own.	The electrician cautioned the homeowner not to try rewiring anything on his own.
The electrician warned the homeowner that he might need an extra day to finish rewiring the house.	The electrician cautioned the homeowner that he might need an extra day to finish rewiring the house.
The officer arrested the protester even though he was not on duty.	The officer detained the protester even though he was not on duty.
The officer arrested the protester even though he was not violent.	The officer detained the protester even though he was not violent.
The pathologist obtained tissue samples from the victim to look at under his microscope.	The pathologist obtained tissue samples from the victim to see under his microscope.
The pathologist obtained tissue samples from the victim to determine the cause of his death.	The pathologist obtained tissue samples from the victim to find the cause of his death.
The student asked the teacher if he could get an extension on the assignment.	The student asked the teacher if he could get an extension on the homework.
The student asked the teacher if he could grant an extension on the assignment.	The student asked the teacher if he could grant an extension on the homework.
The lawyer cross-examined the witness until he broke under pressure.	The lawyer cross-examined the witness until he cracked under pressure.
The lawyer cross-examined the witness until he was finished asking questions.	The lawyer cross-examined the witness until he was done asking questions.
The planner spoke with the resident who said that his entire community did not want an aiport nearby.	The planner conversed with the resident who said that his entire community did not want an aiport nearby.
The planner spoke with the resident who said that his proposal to build a new airport would be met with fierce opposition.	The planner conversed with the resident who said that his proposal to build a new airport would be met with fierce opposition.
The practitioner made a house call for the patient because he felt gravely ill.	The practitioner made a house call for the patient because he felt greviously ill.
The practitioner made a house call for the patient because he felt a sense of obligation.	The practitioner made a house call for the patient because he felt a sense of duty.
The homeowner called the plumber to get an estimate for his services.	The homeowner rang the plumber to get an estimate for his services.
The homeowner called the plumber to get an estimate for repairing his broken pipes.	The homeowner rang the plumber to get an estimate for repairing his broken pipes.
The instructor encouraged the student to attend his help sessions.	The instructor encouraged the student to go to his help sessions.
The instructor encouraged the student to pursue his dreams.	The instructor encouraged the student to go after his dreams.
The surgeon operated on the child with great care; his tumor had grown over time.	The surgeon operated on the child with extreme care; his tumor had grown over time.
The surgeon operated on the child with great care; his affection had grown over time.	The surgeon operated on the child with extreme care; his affection had grown over time.
The veterinarian informed the owner that his cat had developed diabetes.	The veterinarian let the owner know that his cat had developed diabetes.
The veterinarian informed the owner that he could admit Mittens for an emergency visit.	The veterinarian let the owner know that he could admit Mittens for an emergency visit.
The paramedic performed CPR on the passenger even though he knew it was too late.	The paramedic performed CPR on the passenger even though he knew it was very late.
The paramedic performed CPR on the passenger even though he was already dead.	The paramedic performed CPR on the passenger even though he was no longer alive.
The examiner inspected the body of the victim to determine a cause of death, but was unable to because he was too badly mutilated.	"The examiner inspected the body of the victim to determine a cause of death, but could not because he was too badly mutilated."
The examiner inspected the body of the victim to determine a cause of death, but was unable to because he was too incompetent.	"The examiner inspected the body of the victim to determine a cause of death, but could not because he was too incompetent."
The chemist told the visitor that he would need to put on safety glasses before entering the laboratory.	The chemist told the visitor that he would need to wear safety glasses before entering the laboratory.
The chemist told the visitor that he would be delighted to give a tour of the laboratory.	The chemist told the visitor that he would be happy to give a tour of the laboratory.
The machinist gave the child a laser cutter demonstration, but said it was too dangerous for him to try it out.	"The machinist gave the child a laser cutter demonstration, but said it was too dangerous for him to test it out."
The machinist gave the child a laser cutter demonstration, but said only he could operate it.	"The machinist gave the child a laser cutter demonstration, but said only he could use it."
The appraiser told the buyer that he had paid too much for the painting.	The appraiser told the buyer that he had spent too much on the painting.
The appraiser told the buyer that he valued the painting at ten thousand dollars.	The appraiser informed the buyer that he valued the painting at ten thousand dollars.
The nutritionist explained to the patient that cutting down on sugar would be an effective way to improve his diet.	The nutritionist explained to the patient that cutting down on sugar would be a good way to improve his diet.
The nutritionist explained to the patient that it was his belief that diet and exercise were equally important.	The nutritionist explained to the patient that it was his belief that diet and exercise were equally vital.
The student set up a meeting with the architect to explore his career options.	The student scheduled a meeting with the architect to explore his career options.
The student set up a meeting with the architect to view his blueprints for inspiration.	The student scheduled a meeting with the architect to view his blueprints for inspiration.
The hairdresser recommended a new shampoo to the client because he wanted to be helpful.	The hairdresser recommended a new conditioner to the client because he wanted to be helpful.
The hairdresser recommended a new shampoo to the client because he wanted to try something different.	The hairdresser recommended a new conditioner to the client because he wanted to try something different.
The customer ordered a chocolate cake from the baker even though he was on a low-carb diet.	The customer ordered a chocolate muffin from the baker even though he was on a low-carb diet.
The customer ordered a chocolate cake from the baker even though he had bad reviews online.	The customer ordered a chocolate muffin from the baker even though he had bad reviews online.
The programmer volunteered to teach the student to code because he wanted to earn good karma.	The programmer volunteered to teach the student to code because he wanted to receive good karma.
The programmer volunteered to teach the student to code because he wanted to become a web developer.	The programmer volunteered to teach the student to code because he aspired to become a web developer.
The paralegal forgot to file paperwork for the client so he was fired.	The paralegal forgot to file documents for the client so he was fired.
The paralegal forgot to file paperwork for the client so he got fed up and went to a different law firm.	The paralegal forgot to file documents for the client so he got fed up and went to a different law firm.
The hygienist told the patient that he needed to floss every day to avoid gum disease.	The hygienist told the patient that he needed to brush every day to avoid cavities.
